Behavior,Timestamp,Together,Note
Playing,"2025-06-25T05:57:12.747Z",Yes,
Resting,"2025-06-25T06:53:00.097Z",No,
Cuddling,"2025-06-25T07:53:25.715Z",Yes,
Resting,"2025-06-25T10:02:38.551Z",No,
Running,"2025-06-25T13:47:21.596Z",Yes,
Alert,"2025-06-25T14:43:59.838Z",No,
Eating,"2025-06-25T15:29:22.731Z",No,
Playing,"2025-06-25T15:54:19.868Z",Yes,
Cuddling,"2025-06-25T17:24:25.912Z",Yes,
Eating,"2025-06-25T17:41:33.164Z",Yes,
Cuddling,"2025-06-25T19:07:20.578Z",Yes,
Alert,"2025-06-25T20:00:51.669Z",No,
Cuddling,"2025-06-25T21:13:53.581Z",Yes,
Grooming,"2025-06-25T23:01:17.593Z",Yes,
Cuddling,"2025-06-26T05:32:25.526Z",Yes,
Exploring,"2025-06-26T06:52:41.700Z",Yes,
Cuddling,"2025-06-26T08:10:16.158Z",Yes,
Resting,"2025-06-26T09:25:23.573Z",No,
Resting,"2025-06-26T11:15:06.878Z",No,
Resting,"2025-06-26T12:45:27.041Z",No,
Cuddling,"2025-06-26T15:30:43.378Z",Yes,
Resting,"2025-06-26T18:07:49.396Z",No,
Cuddling,"2025-06-26T18:33:53.555Z",Yes,
Eating,"2025-06-26T19:58:14.194Z",Yes,
Cuddling,"2025-06-26T21:02:13.673Z",Yes,
Eating,"2025-06-26T21:51:02.025Z",Yes,
Resting,"2025-06-26T22:56:56.421Z",No,
Running,"2025-06-27T07:35:57.426Z",Yes,
Eating,"2025-06-27T08:00:58.102Z",Yes,"Drinking"
Resting,"2025-06-27T08:55:07.522Z",No,
Resting,"2025-06-27T09:30:01.599Z",Yes,
Resting,"2025-06-27T10:01:49.139Z",No,
Resting,"2025-06-27T12:20:27.335Z",No,
Hiding,"2025-06-27T13:41:13.592Z",Yes,
Exploring,"2025-06-27T15:36:53.723Z",No,
Cuddling,"2025-06-27T17:01:13.221Z",Yes,
Cuddling,"2025-06-27T18:10:00.571Z",Yes,
Hiding,"2025-06-27T19:03:30.593Z",Yes,
Cuddling,"2025-06-27T21:01:28.409Z",Yes,
Cuddling,"2025-06-27T23:09:39.391Z",Yes,
Resting,"2025-06-28T08:23:51.645Z",No,
Alert,"2025-06-28T09:07:31.662Z",No,
Resting,"2025-06-28T10:11:44.286Z",No,
Cuddling,"2025-06-28T11:12:51.253Z",Yes,
Cuddling,"2025-06-28T11:55:30.789Z",Yes,
Cuddling,"2025-06-28T12:27:38.105Z",Yes,
Resting,"2025-06-28T13:43:46.978Z",Yes,
Resting,"2025-06-28T14:37:06.551Z",Yes,
Grooming,"2025-06-28T16:17:46.810Z",Yes,
Grooming,"2025-06-28T17:23:18.451Z",Yes,
Resting,"2025-06-28T17:54:54.428Z",Yes,
Interacting,"2025-06-28T18:55:33.596Z",Yes,
Eating,"2025-06-28T19:58:45.723Z",Yes,
Eating,"2025-06-28T20:30:13.279Z",Yes,
Alert,"2025-06-28T21:23:11.508Z",No,
Resting,"2025-06-28T23:20:40.216Z",No,
Running,"2025-06-29T07:39:08.140Z",Yes,
Alert,"2025-06-29T08:21:41.577Z",Yes,
Eating,"2025-06-29T09:05:56.650Z",No,
Hiding,"2025-06-29T11:53:08.961Z",No,
Grooming,"2025-06-29T12:48:01.769Z",Yes,
Eating,"2025-06-29T13:15:10.736Z",No,
Eating,"2025-06-29T13:15:18.860Z",Yes,
Eating,"2025-06-29T13:15:23.959Z",Yes,
Eating,"2025-06-29T15:09:45.922Z",No,
Resting,"2025-06-29T15:51:02.604Z",No,
Cuddling,"2025-06-29T18:36:26.030Z",Yes,
Resting,"2025-06-29T20:18:42.207Z",No,
Eating,"2025-06-29T21:51:11.637Z",Yes,
Cuddling,"2025-06-29T22:48:40.580Z",Yes,
Cuddling,"2025-06-30T00:08:01.853Z",Yes,
Alert,"2025-06-30T10:01:54.116Z",No,
Running,"2025-06-30T11:22:54.647Z",Yes,
Eating,"2025-06-30T14:07:46.022Z",No,
Cuddling,"2025-06-30T14:40:47.957Z",Yes,
Cuddling,"2025-06-30T15:58:08.878Z",Yes,
Resting,"2025-06-30T16:18:46.490Z",No,
Cuddling,"2025-06-30T17:24:51.438Z",Yes,
Eating,"2025-06-30T19:06:21.290Z",Yes,
Eating,"2025-06-30T19:24:05.890Z",Yes,
Eating,"2025-06-30T21:14:57.784Z",No,
Running,"2025-07-01T09:17:57.004Z",Yes,
Hiding,"2025-07-01T09:45:53.337Z",No,
Alert,"2025-07-01T11:06:18.032Z",No,
Hiding,"2025-07-01T12:06:39.220Z",Yes,
Eating,"2025-07-01T14:06:34.686Z",No,
Eating,"2025-07-01T15:53:17.116Z",Yes,
Cuddling,"2025-07-01T19:00:09.570Z",Yes,
Eating,"2025-07-01T19:40:24.342Z",Yes,
Eating,"2025-07-01T21:19:28.323Z",No,
Playing,"2025-07-01T22:08:39.770Z",Yes,
Cuddling,"2025-07-02T07:10:55.161Z",Yes,
Running,"2025-07-02T07:40:20.147Z",Yes,
Grooming,"2025-07-02T08:44:19.639Z",Yes,
Resting,"2025-07-02T09:58:13.682Z",No,
Resting,"2025-07-02T11:54:53.472Z",No,
Hiding,"2025-07-02T14:07:33.473Z",Yes,"It is a hot day"
Cuddling,"2025-07-02T16:25:26.308Z",Yes,
Cuddling,"2025-07-02T18:13:58.477Z",Yes,
Playing,"2025-07-02T19:04:50.454Z",Yes,
Alert,"2025-07-02T22:11:59.586Z",No,
Exploring,"2025-07-02T22:53:15.861Z",No,
Playing,"2025-07-02T23:54:13.032Z",Yes,
Running,"2025-07-03T07:15:22.582Z",Yes,
Running,"2025-07-03T09:04:01.910Z",Yes,
Resting,"2025-07-03T11:23:52.997Z",Yes,
Resting,"2025-07-03T13:19:32.686Z",Yes,
Running,"2025-07-03T14:34:31.072Z",Yes,
Eating,"2025-07-03T16:10:37.426Z",No,
Eating,"2025-07-03T19:04:39.287Z",Yes,"Drinking"
Thumping,"2025-07-03T20:24:52.851Z",No,
Running,"2025-07-04T07:04:14.780Z",Yes,
Flopping,"2025-07-04T08:52:39.638Z",No,
Resting,"2025-07-04T10:29:29.818Z",Yes,
Hiding,"2025-07-04T11:58:45.660Z",No,
Exploring,"2025-07-04T14:17:46.010Z",No,
Eating,"2025-07-04T16:29:23.525Z",Yes,"After trip to the vet"
Alert,"2025-07-04T18:57:16.272Z",Yes,"Loud noise (vacuum cleaner)"
Grooming,"2025-07-04T19:49:26.343Z",Yes,
Exploring,"2025-07-04T21:34:27.097Z",Yes,
Resting,"2025-07-04T21:56:36.957Z",Yes,
Cuddling,"2025-07-04T22:43:37.011Z",Yes,
Resting,"2025-07-05T00:00:17.301Z",No,
Running,"2025-07-05T08:45:08.130Z",Yes,
Hiding,"2025-07-05T10:01:45.196Z",Yes,
Resting,"2025-07-05T12:30:59.802Z",No,
Resting,"2025-07-05T14:13:15.211Z",Yes,
Interacting,"2025-07-05T15:48:09.908Z",Yes,
Resting,"2025-07-05T16:18:03.723Z",No,
Grooming,"2025-07-05T19:48:26.668Z",Yes,
Eating,"2025-07-05T20:26:08.064Z",No,
Eating,"2025-07-05T21:53:03.968Z",No,
Cuddling,"2025-07-06T07:29:14.248Z",Yes,
Eating,"2025-07-06T08:44:02.804Z",Yes,
Eating,"2025-07-06T09:56:42.296Z",No,
Cuddling,"2025-07-06T11:09:47.398Z",Yes,
Hiding,"2025-07-06T13:40:41.935Z",Yes,
Resting,"2025-07-06T14:22:29.657Z",Yes,
Hiding,"2025-07-06T15:24:06.688Z",Yes,
Eating,"2025-07-06T16:58:28.422Z",Yes,
Grooming,"2025-07-06T19:51:33.299Z",Yes,
Resting,"2025-07-06T20:16:24.703Z",No,
Eating,"2025-07-07T06:14:18.785Z",Yes,
Interacting,"2025-07-07T09:10:21.798Z",Yes,
Resting,"2025-07-07T10:39:36.673Z",Yes,
Hiding,"2025-07-07T12:22:49.318Z",No,
Grooming,"2025-07-07T13:38:18.152Z",Yes,
Resting,"2025-07-07T16:04:38.106Z",Yes,
Alert,"2025-07-07T16:30:26.959Z",No,
Grooming,"2025-07-07T17:14:28.013Z",Yes,
Running,"2025-07-07T18:38:28.422Z",Yes,
Alert,"2025-07-07T20:11:04.099Z",No,
Eating,"2025-07-07T21:41:44.768Z",No,
Eating,"2025-07-07T22:22:37.868Z",Yes,
Alert,"2025-07-07T23:46:03.972Z",No,
Eating,"2025-07-08T08:21:33.186Z",Yes,
Eating,"2025-07-08T09:08:09.713Z",Yes,
Cuddling,"2025-07-08T10:59:34.979Z",Yes,
Interacting,"2025-07-08T11:48:49.681Z",No,
Resting,"2025-07-08T12:35:27.217Z",No,
Cuddling,"2025-07-08T13:51:41.019Z",Yes,
Eating,"2025-07-08T15:29:40.051Z",No,
Eating,"2025-07-08T16:52:36.162Z",Yes,
Running,"2025-07-08T19:18:53.305Z",Yes,
Cuddling,"2025-07-08T21:39:36.075Z",Yes,
Running,"2025-07-09T05:29:08.923Z",Yes,
Running,"2025-07-09T05:57:39.897Z",Yes,
Resting,"2025-07-09T09:43:37.012Z",No,
Resting,"2025-07-09T10:47:47.309Z",No,
Eating,"2025-07-09T11:57:24.439Z",Yes,
Cuddling,"2025-07-09T12:31:05.974Z",Yes,
Resting,"2025-07-09T13:37:42.961Z",Yes,
Resting,"2025-07-09T14:52:21.681Z",No,
Resting,"2025-07-09T15:36:11.890Z",No,
Eating,"2025-07-09T16:08:39.986Z",No,
Eating,"2025-07-09T16:19:36.642Z",Yes,
Cuddling,"2025-07-09T16:39:28.162Z",Yes,
Cuddling,"2025-07-09T17:56:34.980Z",Yes,
Cuddling,"2025-07-09T19:14:30.220Z",Yes,
Exploring,"2025-07-09T21:02:54.729Z",Yes,
Playing,"2025-07-09T22:37:20.685Z",Yes,
Resting,"2025-07-09T23:32:39.856Z",No,
Resting,"2025-07-10T00:40:30.154Z",No,
Running,"2025-07-10T07:28:27.768Z",Yes,
Cuddling,"2025-07-10T08:42:11.623Z",Yes,
Resting,"2025-07-10T10:28:42.013Z",No,
Resting,"2025-07-10T10:54:59.967Z",Yes,
Resting,"2025-07-10T12:34:22.974Z",No,
Playing,"2025-07-10T14:17:25.691Z",Yes,
Running,"2025-07-10T16:58:17.078Z",Yes,
Cuddling,"2025-07-10T18:17:56.994Z",Yes,
Running,"2025-07-10T19:21:38.374Z",Yes,
Eating,"2025-07-10T20:26:04.391Z",No,
Cuddling,"2025-07-10T21:46:07.293Z",Yes,
Resting,"2025-07-10T22:42:31.049Z",No,
Running,"2025-07-11T09:13:09.375Z",Yes,
Eating,"2025-07-11T09:32:41.068Z",Yes,
Resting,"2025-07-11T10:57:45.704Z",No,
Cuddling,"2025-07-11T12:18:15.269Z",Yes,
Hiding,"2025-07-11T13:40:10.673Z",No,
Cuddling,"2025-07-11T14:21:03.556Z",Yes,
Playing,"2025-07-11T15:06:36.045Z",No,
Eating,"2025-07-11T15:54:34.442Z",No,
Eating,"2025-07-11T17:33:53.145Z",Yes,
Running,"2025-07-11T18:56:49.083Z",Yes,
Grooming,"2025-07-11T19:44:46.979Z",Yes,
Eating,"2025-07-11T20:36:29.933Z",No,
Eating,"2025-07-11T22:09:18.588Z",No,
Resting,"2025-07-11T22:48:48.490Z",Yes,
Resting,"2025-07-12T00:25:00.800Z",No,
Exploring,"2025-07-12T09:54:38.015Z",No,
Hiding,"2025-07-12T11:14:43.573Z",No,
Interacting,"2025-07-12T13:14:03.113Z",Yes,
Resting,"2025-07-12T15:01:26.887Z",No,
Exploring,"2025-07-12T16:18:36.496Z",No,
Interacting,"2025-07-12T18:12:54.613Z",Yes,"Asking for food"
Eating,"2025-07-12T19:41:14.026Z",Yes,
Grooming,"2025-07-12T20:49:30.711Z",Yes,
Cuddling,"2025-07-12T22:34:04.106Z",Yes,
Playing,"2025-07-13T07:54:46.498Z",Yes,
Cuddling,"2025-07-13T09:05:16.264Z",Yes,
Exploring,"2025-07-13T09:51:27.611Z",No,
Hiding,"2025-07-13T11:15:37.803Z",Yes,
Hiding,"2025-07-13T12:58:53.183Z",No,
Eating,"2025-07-13T14:40:04.293Z",No,
Alert,"2025-07-13T16:30:26.598Z",Yes,
Resting,"2025-07-13T17:20:20.804Z",No,
Eating,"2025-07-13T17:57:42.170Z",Yes,
Eating,"2025-07-13T21:14:09.447Z",Yes,
Eating,"2025-07-13T22:21:39.673Z",Yes,
Resting,"2025-07-13T23:11:21.620Z",No,
Alert,"2025-07-14T07:34:59.669Z",No,
Eating,"2025-07-14T09:28:28.995Z",Yes,
Eating,"2025-07-14T09:56:45.577Z",Yes,
Resting,"2025-07-14T12:02:15.333Z",No,
Resting,"2025-07-14T12:57:57.577Z",No,
Resting,"2025-07-14T14:09:03.036Z",No,
Resting,"2025-07-14T15:55:09.231Z",No,
Cuddling,"2025-07-14T17:03:56.057Z",Yes,
Eating,"2025-07-14T17:55:34.694Z",Yes,
Cuddling,"2025-07-14T18:29:15.083Z",Yes,
Playing,"2025-07-14T19:07:10.540Z",Yes,"The male is trying to mount female"
Eating,"2025-07-14T20:34:20.045Z",Yes,
Resting,"2025-07-14T21:55:59.432Z",Yes,
Resting,"2025-07-14T22:36:25.764Z",Yes,
Cuddling,"2025-07-15T06:47:55.536Z",Yes,
Flopping,"2025-07-15T08:28:55.963Z",No,
Resting,"2025-07-15T09:08:25.118Z",No,"Close to one another, but different activities"
Exploring,"2025-07-15T10:15:45.538Z",No,
Cuddling,"2025-07-15T11:07:00.059Z",Yes,
Hiding,"2025-07-15T12:22:01.420Z",Yes,"Loud rain and thunder outside"
Resting,"2025-07-15T13:57:56.652Z",Yes,"Looking very relaxed and content"
Eating,"2025-07-15T14:42:59.819Z",No,
Eating,"2025-07-15T15:00:29.310Z",No,
Resting,"2025-07-15T16:16:35.788Z",No,
Interacting,"2025-07-15T16:53:52.529Z",No,
